source,file_path,json_path,value
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.pixel_accuracy,-2.3494841049364794
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].epoch,1
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].train_loss,7.3704828262329105
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].train_seg,0.026389013854070352
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].train_class,0.7270500256465031
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].train_vae,6.26491646033067
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].train_reg,0.7042546556546138
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].train_consistency,0.0
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].val_loss,6.953101134300232
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].val_seg,0.02431012303568423
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].val_class,0.7206971168518066
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].val_vae,5.856806039810181
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].val_reg,0.7025756031274796
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].lr,0.0001230769230769231
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_metrics.json,[0].epoch_time_sec,80.92507648468018
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_summary.json,best_val_loss,6.953101134300232
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_summary.json,epochs_completed,1
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_summary.json,early_stopping_enabled,True
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_summary.json,early_stopping_patience,5
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_summary.json,monitor,"""val_loss"""
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_summary.json,metrics_file,"""outputs\\ablation_m1_tiny\\lora_no_consistency\\training_metrics.json"""
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/training_summary.json,val_visualizations_dir,"""outputs\\ablation_m1_tiny\\lora_no_consistency\\val_visualizations"""
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/calibration_thresholds.json,image_threshold,0.06629828363656998
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/calibration_thresholds.json,pixel_threshold,0.9249926209449768
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/calibration_thresholds.json,val_image_f1,0.48275861617122473
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/calibration_thresholds.json,val_pixel_f1,0.10436782354485122
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.image_level.auroc,78.67063492063492
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.image_level.f1_max,61.53846104142012
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.image_level.ap,57.061032572215176
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.pixel_level.auroc,78.56913563473685
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.pixel_level.pro,41.14109499684921
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.pixel_level.ap,4.037016977918952
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.n_samples,74
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,per_category.cable.n_anomalous,18
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.image_level.auroc,78.67063492063492
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.image_level.f1_max,61.53846104142012
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.image_level.ap,57.061032572215176
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.pixel_level.auroc,78.56913563473685
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.pixel_level.pro,41.14109499684921
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.pixel_level.ap,4.037016977918952
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.n_samples,74
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.thresholded.image_threshold,0.06629828363656998
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.thresholded.pixel_threshold,0.9249926209449768
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.thresholded.image_accuracy,66.21621621621621
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.thresholded.image_precision,40.0
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.thresholded.image_recall,77.77777777777779
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.thresholded.image_f1,52.83018867924528
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/eval_results/results.json,overall.thresholded.pixel_accuracy,97.23165962730818
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.image_level.auroc,42.757936507936506
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.image_level.f1_max,39.99999968
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.image_level.ap,22.86829806381631
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.pixel_level.auroc,71.66694852981577
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.pixel_level.pro,39.64417580447453
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.pixel_level.ap,2.120894938768592
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.n_samples,74
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.thresholded.image_threshold,0.06629828363656998
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.thresholded.pixel_threshold,0.9249926209449768
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.thresholded.image_accuracy,24.324324324324326
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.thresholded.image_precision,24.324324324324326
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.thresholded.image_recall,100.0
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.thresholded.image_f1,39.130434782608695
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/noise_results.json,overall.thresholded.pixel_accuracy,97.04304134936504
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.image_level.auroc,78.67063492063492
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.image_level.f1_max,61.53846104142012
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.image_level.ap,57.061032572215176
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.pixel_level.auroc,78.56913563473685
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.pixel_level.pro,41.14109499684921
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.pixel_level.ap,4.037016977918952
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.n_samples,74
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_threshold,0.06629828363656998
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.thresholded.pixel_threshold,0.9249926209449768
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_accuracy,66.21621621621621
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_precision,40.0
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_recall,77.77777777777779
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_f1,52.83018867924528
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,clean.thresholded.pixel_accuracy,97.23165962730818
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.image_level.auroc,42.757936507936506
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.image_level.f1_max,39.99999968
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.image_level.ap,22.86829806381631
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.pixel_level.auroc,71.66694852981577
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.pixel_level.pro,39.64417580447453
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.pixel_level.ap,2.120894938768592
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.n_samples,74
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_threshold,0.06629828363656998
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.thresholded.pixel_threshold,0.9249926209449768
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_accuracy,24.324324324324326
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_precision,24.324324324324326
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_recall,100.0
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_f1,39.130434782608695
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,noisy.thresholded.pixel_accuracy,97.04304134936504
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.image_auroc,-35.91269841269842
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.image_f1_max,-21.53846136142012
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.image_ap,-34.192734508398864
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.pixel_auroc,-6.902187104921083
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.pixel_pro,-1.4969191923746834
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.pixel_ap,-1.9161220391503604
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.image_accuracy,-41.89189189189189
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.image_f1,-13.699753896636587
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/noise_eval/robustness_report.json,delta.pixel_accuracy,-0.18861827794313513
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].epoch,1
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].train_loss,4.549841796434842
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].train_seg,0.02330958338615556
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].train_class,0.7215400833349962
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].train_vae,3.462850505572099
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].train_reg,0.6842832528627836
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].train_consistency,0.0
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].val_loss,2.2296865224838256
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].val_seg,0.021941908018197863
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].val_class,0.708574640750885
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].val_vae,1.1497180581092834
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].val_reg,0.6989038109779357
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].lr,0.0001230769230769231
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_metrics.json,[0].epoch_time_sec,89.57061624526978
ablations,05_results/ablations/ablation_m1_tiny/no_consistency/training_summary.json,best_val_loss,2.2296865224838256
